2018-10-17 18:14:18,283 INFO    : 策略启动
2018-10-17 18:14:20,172 INFO    : 策略启动
2018-10-17 18:14:23,114 INFO    : 策略启动
2018-10-17 18:14:25,505 INFO    : 策略启动
2018-10-17 18:14:30,314 INFO    : 策略启动
2018-10-17 18:14:30,975 INFO    : 策略启动
2018-10-17 18:14:36,028 INFO    : 策略启动
2018-10-17 18:14:38,724 INFO    : 策略启动
2018-10-17 18:14:41,146 INFO    : 策略启动
2018-10-17 18:14:43,553 INFO    : 策略启动
2018-10-17 18:14:48,337 INFO    : 策略启动
2018-10-17 18:14:49,028 INFO    : 策略启动
2018-10-17 18:14:54,010 INFO    : 策略启动
2018-10-17 18:14:56,176 INFO    : 策略启动
2018-10-17 18:14:59,147 INFO    : 策略启动
2018-10-17 18:15:01,572 INFO    : 策略启动
2018-10-17 18:15:06,351 INFO    : 策略启动
2018-10-17 18:15:07,016 INFO    : 策略启动
2018-10-17 18:15:12,067 INFO    : 策略启动
2018-10-17 18:15:14,423 INFO    : 策略启动
2018-10-17 18:15:17,192 INFO    : 策略启动
2018-10-17 18:15:19,659 INFO    : 策略启动
2018-10-17 18:15:24,358 INFO    : 策略启动
2018-10-17 18:15:25,034 INFO    : 策略启动
2018-10-17 18:15:30,075 INFO    : 策略启动
2018-10-17 18:15:32,184 INFO    : 策略启动
2018-10-17 18:15:35,180 INFO    : 策略启动
2018-10-17 18:15:37,659 INFO    : 策略启动
2018-10-17 18:15:42,370 INFO    : 策略启动
2018-10-17 18:15:43,013 INFO    : 策略启动
2018-10-17 18:15:48,088 INFO    : 策略启动
2018-10-17 18:15:50,200 INFO    : 策略启动
2018-10-17 18:15:53,160 INFO    : 策略启动
2018-10-17 18:15:55,624 INFO    : 策略启动
2018-10-17 18:16:00,396 INFO    : 策略启动
2018-10-17 18:16:01,003 INFO    : 策略启动
2018-10-17 18:16:06,084 INFO    : 策略启动
2018-10-17 18:16:08,231 INFO    : 策略启动
2018-10-17 18:16:11,212 INFO    : 策略启动
2018-10-17 18:16:13,632 INFO    : 策略启动
2018-10-17 18:16:18,472 INFO    : 策略启动
2018-10-17 18:16:19,056 INFO    : 策略启动
2018-10-17 18:16:24,128 INFO    : 策略启动
2018-10-17 18:16:26,231 INFO    : 策略启动
2018-10-17 18:16:29,227 INFO    : 策略启动
2018-10-17 18:16:31,669 INFO    : 策略启动
2018-10-17 18:16:36,424 INFO    : 策略启动
2018-10-17 18:16:37,047 INFO    : 策略启动
2018-10-17 18:16:42,310 INFO    : 策略启动
2018-10-17 18:16:44,228 INFO    : 策略启动
2018-10-17 18:16:47,235 INFO    : 策略启动
2018-10-17 18:16:49,689 INFO    : 策略启动
2018-10-17 18:16:54,455 INFO    : 策略启动
2018-10-17 18:16:55,052 INFO    : 策略启动
2018-10-17 18:17:00,171 INFO    : 策略启动
2018-10-17 18:17:02,273 INFO    : 策略启动
2018-10-17 18:17:05,243 INFO    : 策略启动
2018-10-17 18:17:07,668 INFO    : 策略启动
2018-10-17 18:17:12,458 INFO    : 策略启动
2018-10-17 18:17:13,061 INFO    : 策略启动
2018-10-17 18:17:18,135 INFO    : 策略启动
2018-10-17 18:17:20,286 INFO    : 策略启动
2018-10-17 18:17:23,249 INFO    : 策略启动
2018-10-17 18:17:25,691 INFO    : 策略启动
2018-10-17 18:17:30,462 INFO    : 策略启动
2018-10-17 18:17:31,159 INFO    : 策略启动
2018-10-17 18:17:36,177 INFO    : 策略启动
2018-10-17 18:17:38,246 INFO    : 策略启动
2018-10-17 18:17:41,268 INFO    : 策略启动
2018-10-17 18:17:44,440 INFO    : 策略启动
2018-10-17 18:17:48,498 INFO    : 策略启动
2018-10-17 18:17:49,138 INFO    : 策略启动
2018-10-17 18:17:54,170 INFO    : 策略启动
2018-10-17 18:17:56,290 INFO    : 策略启动
2018-10-17 18:17:59,308 INFO    : 策略启动
2018-10-17 18:18:01,864 INFO    : 策略启动
2018-10-17 18:18:06,521 INFO    : 策略启动
2018-10-17 18:18:07,126 INFO    : 策略启动
2018-10-17 18:18:12,195 INFO    : 策略启动
2018-10-17 18:18:14,314 INFO    : 策略启动
2018-10-17 18:18:17,345 INFO    : 策略启动
2018-10-17 18:18:19,743 INFO    : 策略启动
2018-10-17 18:18:24,548 INFO    : 策略启动
2018-10-17 18:18:25,131 INFO    : 策略启动
2018-10-17 18:18:30,264 INFO    : 策略启动
2018-10-17 18:18:32,337 INFO    : 策略启动
